activityCount,accountAge,username,userType
0,56.27565032637732,alemhnan,Contributor
0,76.00092323643518,jonog,Contributor
1,244.7477381329977,aquilax,Contributor
0,42.53859000846065,samirBoulil,Contributor
0,67.27643123114584,blablabla1234567,Contributor
0,60.80694748672454,amitasthana,Contributor
0,29.49080046652778,mkulinski,Contributor
0,65.13767658672454,Corenzan,Contributor
0,53.44187868103009,simonyost,Contributor
0,28.94561348460648,bvoskerijian,Contributor
0,41.04635448476852,QuarQuar,Contributor
0,32.46094805914352,Allen,Contributor
9,321.12795891452544,hishamabdoh,Core
0,64.21167948674768,javierromero,Contributor
0,80.70217548896991,salvadorgirones,Contributor
0,60.79817194421296,robaswani,Contributor
0,38.152052266851854,jonathanrwallace,Contributor
0,28.541493689537035,monigarr,Contributor
0,1.6152904440625002,iamlukaszajic,Contributor
0,244.91770806747687,davidbrear,Contributor
1,87.16790677568287,kristen,Contributor
0,114.15358603840278,sandmansandine,Contributor
1,20.36755378747685,TheGautamGupta,Core
0,56.13034580148148,mccombs,Contributor
8,295.85601296869214,wittytom,Core
0,73.74321229449075,wangwailok,Contributor
0,30.627468212951392,rstets,Contributor
0,49.46186439964121,mklickman,Contributor
0,46.213046287094905,growthHacker,Contributor
0,234.20011362299766,jbreinlinger,Contributor
1,56.28673320925926,dmix,Contributor
1,45.125763897627316,accell,Contributor
0,267.1397814183912,skymaiden,Contributor
0,71.43305142151621,kairtik,Contributor
2,85.35290345600694,Jens,Contributor
1,55.825297618206015,artur,Contributor
0,41.466918951875,vtrrsl,Contributor
0,121.7307133480324,CodeMangler,Contributor
0,121.2478296835301,taylorfausak,Contributor
0,80.23160233525464,johnnylambada,Contributor
0,35.344572196886574,ianwold,Contributor
4,85.45329121105324,talon,Core
0,22.081148380300924,dangayle,Contributor
0,50.73280155244213,Rimvydas,Contributor
0,80.1829170474074,eskatrem,Contributor
0,272.2970243975463,Pak,Contributor
13,1.96936641,LiamShalon,Contributor
0,85.26819158560185,pavelfest,Contributor
1,121.79499596032407,manusajith,Contributor
0,79.44152447649306,joshbarker,Contributor
0,29.092411630590277,rcalsaverini,Contributor
0,107.26603867085649,daviddarnes,Contributor
0,66.48791982966435,kenna,Contributor
0,94.55412093716436,cage,Contributor
0,6.779296372870371,tatwater,Contributor
8,33.08229136236111,angelxmoreno,Contributor
0,64.67694160902778,erwasambo,Contributor
0,56.20718831258102,vespakoen,Contributor
0,60.75752983203703,jeffb,Contributor
0,62.6639746230787,rkholonyuk,Contributor
0,59.59904931261574,coderaiser,Contributor
0,45.12582256223379,yoraybradbury,Contributor
0,229.8854091934375,katekendall,Contributor
0,335.7964857912037,bbugguj,Contributor
0,269.6590410228125,glynjackson,Contributor
0,366.27716580962965,damir,Contributor
0,232.187083594838,goblortikus,Contributor
0,293.02778242452547,omar49,Contributor
0,200.09445172270833,dahbearz,Contributor
0,121.249121455625,jnettome,Contributor
0,104.19146348799768,naquiuddin,Contributor
0,59.61702019108797,theflexbird,Contributor
0,27.91574996726852,idaunis,Contributor
1,248.19649597234954,laughkat,Contributor
0,343.2200065580208,bentrengrove,Contributor
0,287.03256805373843,L4RRY,Contributor
0,211.14057994395836,Rshields,Contributor
0,356.0421576307639,audreyfischer,Core
2,112.98474263143518,ryepdx,Contributor
4,51.82022596119213,vickyonit,Contributor
0,366.13643121564814,Daywalker7,Contributor
0,158.51172118760417,menot99,Contributor
0,248.16073472619212,jdennes,Contributor
0,163.88064947265048,loomz,Contributor
0,248.1587467943866,shaunyq,Contributor
0,318.2002906525463,mcmahonempire,Contributor
0,334.4192229888426,zeroion,Contributor
6,88.39330713005788,keyvanfatehi,Core
0,244.81373020414352,adamd,Contributor
0,58.79471867324074,ikemesit,Contributor
0,59.611332618807864,jlmartinpeinado,Contributor
0,366.18671838600693,kyeung,Contributor
0,48.44844173386574,floriankrueger,Contributor
0,56.27304174596064,alecturnbull,Contributor
0,158.46271310741898,grotman,Contributor
